Conditions,Classes
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration <= -0.17810705304145813 AND Src_Port > 0.9361713528633118 AND Flow_IAT_Min <= -0.24368134140968323 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration > -0.17892219871282578,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port <= -1.2714509963989258 AND Flow_IAT_Min > -0.20617125928401947 AND Flow_Duration <= -0.15718498826026917 AND Flow_IAT_Min <= -0.20230992883443832 AND Flow_Duration <= -0.15854356437921524 AND Flow_Duration <= -0.15935871005058289 AND Flow_IAT_Min > -0.20561964064836502 AND Flow_Duration > -0.1596304252743721,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port <= 0.05121597461402416 AND Dst_Port > -0.7424137890338898 AND Src_Port > 0.05026276223361492 AND Src_Port <= 0.05053214728832245,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts > -0.4528309851884842 AND Init_Bwd_Win_Byts <= 1.991342544555664 AND Src_Port <= 0.8073424398899078 AND Src_Port <= 0.7370739877223969 AND Init_Bwd_Win_Byts <= 0.7096131443977356 AND Init_Bwd_Win_Byts <= -0.28474901616573334 AND Src_Port <= -0.512775719165802 AND Dst_Port > 0.1435529887676239,Normal
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts <= 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9921783804893494 AND Flow_IAT_Min <= -0.24423296004533768 AND Flow_Duration > -0.16017385572195053 AND Flow_IAT_Min > -0.24643943458795547 AND Flow_Duration > -0.15935871005058289 AND Flow_Duration <= -0.15528298169374466 AND Init_Bwd_Win_Byts <= 1.9917007684707642 AND Flow_Duration <= -0.1577284187078476 AND Init_Bwd_Win_Byts <= 1.9710039496421814 AND Flow_Duration > -0.15881527960300446,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts > 0.048628779128193855 AND Dst_Port > -0.5052325129508972 AND Src_Port <= 0.514664351940155,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts > -0.5840567052364349 AND Src_Port <= 1.0228723287582397 AND Src_Port > 0.7319971024990082 AND Src_Port > 0.8021826446056366 AND Init_Bwd_Win_Byts > -0.5741859078407288 AND Src_Port > 0.911325603723526 AND Src_Port <= 0.9833968579769135 AND Src_Port > 0.9678553342819214,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port <= 0.9361713528633118 AND Flow_Duration <= -0.12648117542266846 AND Flow_Duration > -0.14414266496896744 AND Flow_IAT_Min <= -0.15376747399568558 AND Flow_IAT_Min > -0.22161658853292465 AND Flow_Duration > -0.143599234521389 AND Flow_Duration <= -0.12675289064645767,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts <= -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.6002161204814911 AND Src_Port > 0.8472737967967987 AND Init_Bwd_Win_Byts <= -0.5979076325893402 AND Src_Port <= 1.1741017699241638 AND Src_Port > 0.8756836950778961 AND Src_Port <= 1.1142358183860779 AND Src_Port <= 1.0969536900520325 AND Src_Port <= 1.0867791175842285 AND Src_Port <= 1.0763973593711853 AND Src_Port > 0.9536193013191223 AND Init_Bwd_Win_Byts <= -0.5989822745323181,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts <= 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9921783804893494 AND Flow_IAT_Min > -0.24423296004533768 AND Init_Bwd_Win_Byts <= 1.9640784859657288 AND Init_Bwd_Win_Byts <= 1.9606157541275024 AND Flow_Duration <= -0.15636984258890152 AND Flow_IAT_Min <= -0.24037162214517593 AND Flow_IAT_Min <= -0.24092324078083038 AND Flow_Duration <= -0.15664155781269073 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_IAT_Min > -0.24312972277402878,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port > -0.3370986729860306 AND Init_Bwd_Win_Byts > -0.5835790634155273 AND Init_Bwd_Win_Byts <= -0.5765739977359772 AND Flow_IAT_Min > -0.24533619731664658 AND Flow_Duration <= -0.1487618163228035 AND Flow_Duration <= -0.1490335315465927 AND Flow_IAT_Min > -0.21361811459064484,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts <= 0.048628779128193855 AND Dst_Port <= -0.6826541125774384 AND Src_Port <= 0.5372099280357361 AND Src_Port <= 0.2640727609395981 AND Src_Port > 0.19430164992809296 AND Src_Port > 0.21728239208459854 AND Src_Port > 0.2610058933496475,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port > 1.298836350440979 AND Flow_Duration > -0.16071728616952896 AND Flow_Duration <= -0.1525658294558525 AND Flow_IAT_Min > -0.19403564929962158 AND Flow_Duration > -0.15392440557479858 AND Flow_Duration <= -0.15283754467964172 AND Flow_Duration <= -0.15310925990343094 AND Flow_IAT_Min <= -0.19238079339265823 AND Flow_Duration > -0.15365269035100937,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts > 0.048628779128193855 AND Dst_Port <= -0.5052325129508972 AND Dst_Port <= -0.7424137890338898 AND Init_Bwd_Win_Byts <= 4.427316904067993 AND Dst_Port > -0.9260448515415192 AND Init_Bwd_Win_Byts > 1.7539262771606445 AND Init_Bwd_Win_Byts <= 2.2968194484710693 AND Src_Port <= 0.6976606845855713 AND Src_Port <= 0.4840579181909561,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min > -0.2332005798816681 AND Flow_IAT_Min > -0.21610040217638016 AND Init_Bwd_Win_Byts <= 1.988675832748413 AND Flow_Duration <= -0.15338097512722015 AND Flow_IAT_Min <= -0.19293241202831268 AND Flow_IAT_Min <= -0.19348403066396713 AND Flow_Duration <= -0.15473955124616623 AND Flow_IAT_Min <= -0.21389392763376236 AND Flow_Duration <= -0.16452129185199738 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Init_Bwd_Win_Byts <= 0.7621113955974579 AND Flow_IAT_Min <= -0.2155487835407257,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts <= -0.5840567052364349 AND Dst_Port <= -0.8768200576305389 AND Src_Port <= 0.8929451704025269 AND Src_Port > 0.8103471398353577 AND Src_Port <= 0.8426113426685333 AND Flow_Duration > -0.17729190737009048 AND Flow_Duration <= -0.15365269035100937 AND Flow_IAT_Min <= -0.19348403066396713 AND Flow_IAT_Min <= -0.19734536111354828 AND Flow_IAT_Min <= -0.19789697974920273 AND Flow_Duration <= -0.16289100795984268,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts <= -0.5840567052364349 AND Dst_Port <= -0.8768200576305389 AND Src_Port <= 0.8929451704025269 AND Src_Port > 0.8103471398353577 AND Src_Port > 0.8426113426685333 AND Src_Port > 0.8714357018470764 AND Flow_IAT_Min > -0.24037162214517593 AND Flow_Duration > -0.17661262303590775 AND Flow_IAT_Min <= -0.18658879399299622 AND Flow_Duration <= -0.15120725333690643 AND Init_Bwd_Win_Byts <= -0.5902657508850098,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts <= -0.5840567052364349 AND Dst_Port <= -0.8768200576305389 AND Src_Port <= 0.8929451704025269 AND Src_Port > 0.8103471398353577 AND Src_Port > 0.8426113426685333 AND Src_Port <= 0.8714357018470764 AND Src_Port > 0.8562257289886475,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts > -0.4528309851884842 AND Init_Bwd_Win_Byts <= 1.991342544555664 AND Src_Port > 0.8073424398899078 AND Src_Port <= 0.8636027574539185 AND Flow_Duration > -0.14604466408491135 AND Flow_IAT_Min <= -0.12039454281330109 AND Flow_IAT_Min <= -0.1686611846089363 AND Flow_IAT_Min <= -0.24092324078083038 AND Src_Port <= 0.8472323417663574 AND Init_Bwd_Win_Byts > -0.24566390365362167 AND Init_Bwd_Win_Byts <= -0.18082717061042786 AND Flow_IAT_Min <= -0.24312972277402878 AND Flow_Duration > -0.13870836049318314,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port > 1.298836350440979 AND Flow_Duration > -0.16071728616952896 AND Flow_Duration <= -0.1525658294558525 AND Flow_IAT_Min > -0.19403564929962158 AND Flow_Duration > -0.15392440557479858 AND Flow_Duration <= -0.15283754467964172 AND Flow_Duration > -0.15310925990343094,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min > -0.2332005798816681 AND Flow_IAT_Min <= -0.21610040217638016 AND Init_Bwd_Win_Byts <= 1.9950042963027954 AND Flow_Duration > -0.16723844408988953 AND Flow_Duration > -0.16642329841852188 AND Init_Bwd_Win_Byts <= 1.9901484847068787 AND Flow_Duration > -0.16560815274715424 AND Flow_Duration <= -0.16533643752336502 AND Init_Bwd_Win_Byts <= 0.7513649761676788,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port > 0.5999148190021515 AND Init_Bwd_Win_Byts > -0.5840567052364349 AND Src_Port <= 1.0228723287582397 AND Src_Port > 0.7319971024990082 AND Src_Port > 0.8021826446056366 AND Init_Bwd_Win_Byts <= -0.5741859078407288 AND Src_Port > 0.9357568919658661 AND Init_Bwd_Win_Byts <= -0.5807531476020813 AND Src_Port <= 0.9668399393558502 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Flow_IAT_Min > -0.21361811459064484 AND Flow_Duration > -0.1631627231836319,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port <= -1.2714509963989258 AND Flow_IAT_Min <= -0.20617125928401947 AND Flow_IAT_Min <= -0.23926838487386703 AND Flow_Duration <= -0.17810705304145813 AND Flow_Duration <= -0.17837876826524734 AND Flow_Duration > -0.17892219871282578 AND Flow_Duration > -0.17865048348903656,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port <= -1.2714509963989258 AND Flow_IAT_Min <= -0.20617125928401947 AND Flow_IAT_Min <= -0.23926838487386703 AND Flow_Duration <= -0.17810705304145813 AND Flow_Duration > -0.17837876826524734,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min > -0.24092324078083038 AND Init_Bwd_Win_Byts <= 1.9917007684707642 AND Flow_Duration > -0.17702019214630127 AND Flow_IAT_Min <= -0.23706191033124924 AND Flow_Duration <= -0.15202239900827408 AND Flow_Duration <= -0.15310925990343094 AND Flow_Duration <= -0.1756616160273552 AND Flow_Duration > -0.17674847692251205 AND Flow_IAT_Min <= -0.23871676623821259 AND Init_Bwd_Win_Byts <= 1.9852927327156067 AND Flow_IAT_Min <= -0.23926838487386703 AND Init_Bwd_Win_Byts <= 0.7513649761676788,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min > -0.2199617326259613 AND Flow_IAT_Min <= -0.20175831019878387 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Flow_Duration <= -0.1647930070757866 AND Flow_IAT_Min <= -0.21720363944768906 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Init_Bwd_Win_Byts <= 2.001929759979248 AND Init_Bwd_Win_Byts <= 1.9984670281410217 AND Flow_IAT_Min > -0.2188584953546524 AND Init_Bwd_Win_Byts > 0.7513649761676788 AND Init_Bwd_Win_Byts > 1.967541217803955 AND Init_Bwd_Win_Byts > 1.983621060848236 AND Init_Bwd_Win_Byts > 1.9906260967254639,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts <= 0.048628779128193855 AND Dst_Port <= -0.6826541125774384 AND Src_Port > 0.5372099280357361 AND Src_Port <= 0.7045818567276001 AND Src_Port > 0.569867879152298 AND Src_Port <= 0.608452320098877 AND Src_Port <= 0.582114577293396 AND Src_Port <= 0.5726239085197449,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min > -0.23126991838216782 AND Src_Port > 0.972082644701004 AND Flow_Duration > -0.16642329841852188 AND Flow_Duration <= -0.16234757751226425 AND Flow_Duration > -0.16452129185199738 AND Flow_IAT_Min > -0.21223906427621841 AND Flow_IAT_Min > -0.21168744564056396 AND Flow_IAT_Min > -0.21113582700490952,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration > -0.1558264121413231 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_Duration > -0.15473955124616623 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration <= -0.1541961207985878 AND Flow_IAT_Min > -0.24257809668779373 AND Flow_Duration <= -0.15446783602237701,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min > -0.24092324078083038 AND Init_Bwd_Win_Byts <= 1.9917007684707642 AND Flow_Duration > -0.17702019214630127 AND Flow_IAT_Min > -0.23706191033124924 AND Init_Bwd_Win_Byts <= 1.9709641933441162 AND Flow_Duration <= -0.1737596094608307 AND Init_Bwd_Win_Byts <= 1.9536902904510498 AND Init_Bwd_Win_Byts <= 0.7481410801410675 AND Flow_Duration > -0.17511818557977676 AND Flow_IAT_Min <= -0.23485543578863144 AND Flow_Duration <= -0.17457475513219833 AND Flow_IAT_Min > -0.23595867305994034,Scan Hostport
